ip开始地址,ip结束地址,国家,省,市,地区,,
3.0.0.0,4.255.255.255,美国,,,,,
5.0.0.0,5.255.255.255,IANA,,,,,
6.0.0.0,9.255.255.255,美国,,,,,
10.0.0.0,10.255.255.255,本地局域网,,,,,
11.0.0.0,17.255.255.255,美国,,,,,
18.0.0.0,18.255.255.255,美国,,,麻省理工学院,,
19.0.0.0,22.255.255.255,美国,,,,,
23.0.0.0,23.255.255.255,IANA,,,,,
24.0.0.0,24.35.127.255,美国,,,,,
24.35.128.0,24.35.255.255,ARIN,,,,,
24.36.0.0,24.37.255.255,加拿大,,,,,
24.38.0.0,24.38.143.255,美国,,,,,
24.38.144.0,24.38.191.255,ARIN,,,,,
24.38.192.0,24.38.223.255,美国,,,,,
24.38.224.0,24.38.255.255,ARIN,,,,,
24.39.0.0,24.40.79.255,美国,,,,,
24.40.80.0,24.40.95.255,ARIN,,,,,
24.40.96.0,24.40.233.255,美国,,,,,
24.40.234.0,24.40.255.255,ARIN,,,,,
24.41.0.0,24.41.95.255,美国,,,,,
24.41.96.0,24.41.255.255,ARIN,,,,,
24.42.0.0,24.43.255.255,加拿大,,,,,
24.44.0.0,24.56.111.255,美国,,,,,
24.56.112.0,24.56.127.255,ARIN,,,,,
24.56.128.0,24.56.255.255,美国,,,,,
24.57.0.0,24.57.255.255,加拿大,,,,,
24.58.0.0,24.63.255.255,美国,,,,,
24.64.0.0,24.72.159.255,加拿大,,,,,
24.72.160.0,24.75.255.255,美国,,,,,
24.76.0.0,24.87.255.255,加拿大,,,,,
24.88.0.0,24.89.31.255,美国,,,,,
24.89.32.0,24.89.63.255,ARIN,,,,,
24.89.64.0,24.89.127.255,加拿大,,,,,
24.89.128.0,24.89.191.255,ARIN,,,,,
24.89.192.0,24.89.255.255,加拿大,,,,,
24.90.0.0,24.99.255.255,美国,,,,,
24.100.0.0,24.103.255.255,加拿大,,,,,
24.104.0.0,24.104.159.255,美国,,,,,
24.104.160.0,24.104.255.255,ARIN,,,,,
24.105.0.0,24.105.63.255,美国,,,,,
24.105.64.0,24.105.127.255,ARIN,,,,,
24.105.128.0,24.105.223.255,美国,,,,,
24.105.224.0,24.105.255.255,ARIN,,,,,
24.106.0.0,24.107.255.255,美国,,,,,
24.108.0.0,24.109.255.255,加拿大,,,,,
24.110.0.0,24.111.255.255,美国,,,,,
24.112.0.0,24.112.255.255,加拿大,,,,,
24.113.0.0,24.113.255.255,美国,,,,,
24.114.0.0,24.114.255.255,加拿大,,,,,
24.115.0.0,24.121.255.255,美国,,,,,
24.122.0.0,24.122.255.255,加拿大,,,,,
24.123.0.0,24.129.223.255,美国,,,,,
24.129.224.0,24.129.239.255,加拿大,,,,,
24.129.240.0,24.129.255.255,ARIN,,,,,
24.130.0.0,24.131.255.255,美国,,,,,
24.132.0.0,24.132.255.255,荷兰,,,,,
24.133.0.0,24.135.255.255,欧洲,,,,,
24.136.0.0,24.137.31.255,美国,,,,,
24.137.32.0,24.137.47.255,加拿大,,,,,
24.137.48.0,24.137.63.255,ARIN,,,,,
24.137.64.0,24.137.127.255,加拿大,,,,,
24.137.128.0,24.137.191.255,美国,,,,,
24.137.192.0,24.137.223.255,加拿大,,,,,
24.137.224.0,24.137.255.255,ARIN,,,,,
24.138.0.0,24.138.79.255,加拿大,,,,,
24.138.80.0,24.138.127.255,ARIN,,,,,
24.138.128.0,24.138.191.255,加拿大,,,,,
24.138.192.0,24.138.255.255,波多黎哥,,,,,
24.139.0.0,24.139.31.255,加拿大,,,,,
24.139.32.0,24.139.127.255,ARIN,,,,,
24.139.128.0,24.139.223.255,波多黎各,,,,,
24.139.224.0,24.139.255.255,ARIN,,,,,
24.140.0.0,24.140.223.255,美国,,,,,
24.140.224.0,24.140.255.255,ARIN,,,,,
24.141.0.0,24.141.255.255,加拿大,,,,,
24.142.0.0,24.143.47.255,美国,,,,,
24.143.48.0,24.143.63.255,ARIN,,,,,
24.143.64.0,24.143.95.255,美国,,,,,
24.143.96.0,24.143.127.255,ARIN,,,,,
24.143.128.0,24.143.175.255,美国,,,,,
24.143.176.0,24.143.223.255,ARIN,,,,,
24.143.224.0,24.144.255.255,美国,,,,,
24.145.0.0,24.145.127.255,ARIN,,,,,
24.145.128.0,24.145.255.255,美国,,,,,
24.146.0.0,24.146.31.255,加拿大,,,,,
24.146.32.0,24.146.255.255,ARIN,,,,,
24.147.0.0,24.149.63.255,美国,,,,,
24.149.64.0,24.149.127.255,ARIN,,,,,
24.149.128.0,24.149.255.255,美国,,,,,
24.150.0.0,24.150.255.255,加拿大,,,,,
24.151.0.0,24.151.255.255,美国,,,,,
24.152.0.0,24.152.127.255,智利,,,,,
24.152.128.0,24.152.255.255,美国,,,,,
24.153.0.0,24.153.63.255,加拿大,,,,,
24.153.64.0,24.155.255.255,美国,,,,,
24.156.0.0,24.157.255.255,加拿大,,,,,
